%TITLE%
 JAX   210418/0000 

   LEVEL       HGHT       TEMP       DWPT       WDIR       WSPD
-------------------------------------------------------------------
%RAW%
   73.49,  18288.00,    -67.64,    -87.64,    285.00,     22.01
   71.10,  18486.61,    -68.70,    -88.70,  -9999.00,  -9999.00
   70.00,  18580.00,    -67.70,    -87.70,    270.00,     15.00
   69.85,  18593.00,    -67.64,    -87.68,    270.00,     15.00
   66.42,  18898.00,    -66.35,    -87.25,    245.00,     22.01
   62.30,  19285.46,    -64.70,    -86.70,  -9999.00,  -9999.00
   60.08,  19507.00,    -64.70,    -86.97,    290.00,     29.99
   57.15,  19812.00,    -64.70,    -87.35,    290.00,     21.00
   54.50,  20101.08,    -64.70,    -87.70,  -9999.00,  -9999.00
   53.30,  20237.29,    -63.30,    -86.30,  -9999.00,  -9999.00
   51.72,  20422.00,    -63.11,    -86.11,    330.00,     10.99
   50.00,  20630.00,    -62.90,    -85.90,    245.00,      2.99
   47.60,  20933.70,    -62.50,    -85.50,  -9999.00,  -9999.00
   46.86,  21031.00,    -62.10,    -85.22,      0.00,      0.00
   44.62,  21336.00,    -60.84,    -84.33,    305.00,      6.00
   42.49,  21641.00,    -59.58,    -83.44,     15.00,     10.99
   41.70,  21758.10,    -59.10,    -83.10,  -9999.00,  -9999.00
   37.70,  22399.93,    -53.30,    -79.30,  -9999.00,  -9999.00
   33.47,  23165.00,    -53.88,    -79.30,    155.00,     12.00
   31.92,  23470.00,    -54.11,    -79.30,    175.00,     15.00
   30.70,  23721.71,    -54.30,    -79.30,  -9999.00,  -9999.00
   30.00,  23870.00,    -53.70,    -80.70,    285.00,      8.00
   28.80,  24134.30,    -50.30,    -79.30,  -9999.00,  -9999.00
   27.71,  24384.00,    -50.62,    -79.04,     30.00,      0.99
   25.23,  24994.00,    -51.40,    -78.40,     45.00,     10.99
   22.10,  25853.37,    -52.50,    -77.50,  -9999.00,  -9999.00
   21.91,  25908.00,    -52.42,    -77.72,     90.00,     13.00
   20.91,  26213.00,    -51.98,    -78.94,    125.00,     19.00
   20.30,  26403.17,    -51.70,    -79.70,  -9999.00,  -9999.00
   20.00,  26500.00,    -50.30,    -78.30,    135.00,     13.00
   19.95,  26518.00,    -50.21,    -78.21,    135.00,     12.00
   19.20,  26767.29,    -48.90,    -76.90,  -9999.00,  -9999.00
   18.18,  27127.00,    -48.50,    -76.83,     90.00,      2.99
   17.36,  27432.00,    -48.15,    -76.78,     85.00,      6.99
   16.58,  27737.00,    -47.81,    -76.72,     30.00,     12.00
